TEAM NAMES,Series Number,Filename,Name,Description,Gender,attributes,UUID,Hash
TEAM BEVEL,1,adewale-the-amebo,adewale the amebo,Adewale likes to be in everyone's business. ,Male,hair: bald; eyes: black; teeth: none; clothing: red; accessories: mask; expression: none; strength: powerful; weakness: curiosity;,cad316c3-37f8-4b27-9f53-9d803bfcfee7,7f682a041b2d06437d7a090ef60359b6047efc2474170a2f74d320661c927556
TEAM BEVEL,2,alli-the-queeny,alli the queeny,Alli is an LGBT Stan.,Male,hair: bald; eyes: white; teeth: none; clothing: yellow; accessories: mask; expression: none: strength: powerful; weakness: none;,a57ecda4-a26f-4e97-a757-e1800af39aab,29fa24cfad0b26edb64ffa67f96d419c2cdfc857704e260094b37f9d66b8f9ae
TEAM BEVEL,3,aminat-the-snnobish,aminat the snnobish,Aminat never really wants to talk to anyone.,Female,hair: brown bun; eyes: none; teeth: none; clothing: yellow; accessories: glasses; expression: blank; strength: none; weakness: attitude;,0e37ed0d-3e84-4f32-a91f-ec9c4ba8c7de,ec1bc4a7ed92c8e162ca31476cdc8e2b8fecee1a44ee35b631dca7f510052bb7
TEAM BEVEL,4,aminu-the-carpenter,aminu the carpenter,Aminu's hands are blessed; he makes the best furniture in the whole of Kano.,Male,hair: bald; eyes: blue; teeth: none; clothing: yellow; accessories: mask; expression: none; strength: powerful; weakness: none;,4f30b751-96e7-40fe-97fd-e3d44973ff2f,0362fd484064eeaa8be03d576d3d6514632eb3b604072fdb4f3336d78abd6c84
TEAM BEVEL,5,chibuike-the-kudibag,chibuike the kudibag,Chibuike is too rich. Everyone wonders how he got it.,Male,hair: bald; eyes: black; teeth: none; clothing: blue; accessories: mask; expression: none; strength: hustler; weakness: none;,5ce854f2-7ac1-46fd-b3fe-57583935d1e5,38750ba111268f87a490657006047c0abbc49158146842e4897f9d5572dd5c82
TEAM BEVEL,6,chidinma-the-model,chidinma the model,From Paris' runways; to London's streets; she's always in demand.,Female,hair: brown hair; eyes: none; teeth: none; clothing: multicolored; accessories: glasses; expression: none; strength: hardworking; weakness: none;,c98db72e-49ac-4ca6-89d5-e00f5fbbcc45,02533af6ecd41a6f71182db9c221c968f50f7e9cb67c2a563750f5d1d881857f
TEAM BEVEL,7,chioma-pretty- girl,chioma pretty girl,Chioma's face card is a 100.,Female,hair: dreads; eyes: none; teeth: none; clothing: multicolored; accessories: glasses; expression: none; strength: none; weakness: none;,182ea888-a85b-42ca-ad73-ed4f8f9aa5c7,08b8da7dc4b9fa7eba8f2b5720bad17fab57909076de62d89c06db099efd05c1
TEAM BEVEL,8,damilare-the-handsome,damilare the handsome,He's a fine boy; proper eye candy. ,Male,hair: bald; eyes: white; teeth: none; clothing: yellow; accessories: mask; expression: none; strength: none; weakness: none;,27eca2dc-d7df-474a-8f8f-1858152c711e,4e9406817c4b714a14da13e451a612d91a4aad12c1de8fb404d680ee0d69de70
TEAM BEVEL,9,ebiowie-the-planter,ebiowie the planter,Ebiowei has a reputation for nurturing plants.,Male,hair: bald; eyes: none; teeth: none; clothing: multicolored; accessories: none; expression: none; strength: powerful; weakness: none;,f1df8270-4d60-4bd4-8959-ba7c384db5c4,6f761c19a2354ececbf6afe8a4fe606a6b09978bba3ade27ee89f0d22cd158b2
TEAM BEVEL,10,emeka-the-businessman,emeka the businessman,Emeka only cares about containers. No time to waste.,Male,hair: bald; eyes: white; teeth: none; clothing: orange; accessories: mask; expression: none; strength: hard worker; weakness: none;,9b3d75da-4887-4089-aee4-50de3954fdc9,11011ccc443753959994dfe2a44bba4d4329b7dd6a55768d533e2611818338d1
TEAM BEVEL,11,gbeminyi-the-monk,gbeminyi the monk,He lives in a monastery off the coast. No one has heard him speak in years.,Male,hair: bald; eyes: blue; teeth: none; clothing: yellow; accessories: mask; expression: none; strength: none; weakness: none;,c8b1fd1d-8551-4bb4-8dc4-923a9aeb39fb,07c429631088aed2f75c1f50f9723127f5a282e14b3564616a4e953f29159bf4
TEAM BEVEL,12,henry-the-sportsman,henry the sportsman,He's played every sport known to man. Even cricket.,Male,hair: bald; eyes: yellow; teeth: none; clothing: multicolored; accessories: mask; expression: none; strength: agility; weakness: none;,e1225451-bfdf-4a1f-8d37-9cce3a0bd67b,bcf8fc1bec0a103b7e2af64d77b5e74ea97b9b04e37a8dfbb3eb1af72a7b22c8
